District,Attribute,Measure
Raichur,Living in own house - Total,92.7
Raichur,Mean age at marriage - Female,17.2
Raichur,Mean age at marriage - Male,22.5
Raichur,Population size - Female,958280
Raichur,Population size - Female 0-6 yr,132786
Raichur,Population size - Male,966493
Raichur,Population size - Male 0-6 yr,139917
Raichur,Population size - Rural,1437359
Raichur,Population size - Rural 0-6 yr,212049
Raichur,Population size - Rural Female,717291
Raichur,Population size - Rural Female 0-6 yr,103166
Raichur,Population size - Rural Male,720068
Raichur,Population size - Rural Male 0-6 yr,108883
Raichur,Population size - Total,1924773
Raichur,Population size - Total 0-6 yr,272703
Raichur,Population size - Urban,487414
Raichur,Population size - Urban 0-6 yr,60654
Raichur,Population size - Urban Female,240989
Raichur,Population size - Urban Female 0-6 yr,29620
Raichur,Population size - Urban Male,246425
Raichur,Population size - Urban Male 0-6 yr,31034
Raichur,Population density - Total,228
Raichur,Sex ratio - Rural,996
Raichur,Sex ratio - Total,992
Raichur,Sex ratio - Urban,978
Raichur,Sex ratio (0-6 years) - Rural,947
Raichur,Sex ratio (0-6 years) - Total,949
Raichur,Sex ratio (0-6 years) - Urban,954
Raichur,Percentage of households who own any agricultural land - Total,75.8
Raichur,Percentage distribution of population by wealth quintiles - Highest,12.1
Raichur,Percentage distribution of population by wealth quintiles - Lowest,26.7
Raichur,Percentage of households holding below poverty line (BPL) ration cards - Total,51.3
Raichur,Children aged 6-11 years attending school - Female,89.1
Raichur,Children aged 6-11 years attending school - Male,95.2
Raichur,Literacy rate (age 7+) - Female,49.56
Raichur,Literacy rate (age 7+) - Male,71.35
Raichur,Literacy rate (age 7+) - Rural,55.19
Raichur,Literacy rate (age 7+) - Rural Female,43.3
Raichur,Literacy rate (age 7+) - Rural Male,67.13
Raichur,Literacy rate (age 7+) - Total,60.46
Raichur,Literacy rate (age 7+) - Urban,75.61
Raichur,Literacy rate (age 7+) - Urban Female,67.77
Raichur,Literacy rate (age 7+) - Urban Male,83.31
Raichur,Number of literates aged 7 years and above - Female,409153
Raichur,Number of literates aged 7 years and above - Male,589746
Raichur,Number of literates aged 7 years and above - Rural,676206
Raichur,Number of literates aged 7 years and above - Rural Female,265902
Raichur,Number of literates aged 7 years and above - Rural Male,410304
Raichur,Number of literates aged 7 years and above - Total,998899
Raichur,Number of literates aged 7 years and above - Urban,322693
Raichur,Number of literates aged 7 years and above - Urban Female,143251
Raichur,Number of literates aged 7 years and above - Urban Male,179442
Raichur,Households with electricity - Total,88.1
Raichur,Households using LPG for cooking - Total,12.9
Raichur,Households with toilet facility - Total,17.9
Raichur,Households with improved source of drinking water - Total,87.9
Raichur,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,84.9
Raichur,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,74.3
Raichur,Children aged under 3 yrs with diarrhoea treated with ORS - Total,59.3
Raichur,Women whose child under 3 yrs suffered from diarrhoea - Total,10.9
Raichur,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,80.5
Raichur,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,28.9
Raichur,Women whose child under 3 yrs suffered from pneumonia - Total,24.6
Raichur,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,74.8
Raichur,Women with children under 3 yrs aware of diarrhoea - Total,18.9
Raichur,Women with children under 3 yrs aware of pneumonia - Total,1.5
Raichur,Women with children under 3 yrs having knowledge of ORS - Total,8.3
Raichur,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,50
Raichur,Percentage of villages with health sub-centre within 3 km - Total,84.8
Raichur,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,77.3
Raichur,BCG immunization - Total 12-23 mo,89.9
Raichur,BCG immunization - Total 12-35 mo,67.1
Raichur,Complete immunization - Total 12-23 mo,45.2
Raichur,Complete immunization - Total 12-35 mo,45.3
Raichur,DPT3 immunization - Total 12-23 mo,53.4
Raichur,DPT3 immunization - Total 12-35 mo,53.8
Raichur,Measles immunization - Total 12-23 mo,70
Raichur,Measles immunization - Total 12-35 mo,51.1
Raichur,No immunization - Total 12-23 mo,25.9
Raichur,No immunization - Total 12-35 mo,28
Raichur,OPV3 immunization - Total 12-23 mo,79.6
Raichur,OPV3 immunization - Total 12-35 mo,56.4
Raichur,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,16.1
Raichur,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,76.3
Raichur,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,9
Raichur,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,8.9
Raichur,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,90.1
Raichur,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,16.8
Raichur,Proportion of households having television - Total,38.3
Raichur,Percentage of households who own a mobile phone - Total,32.5
Raichur,Percentage of households who own a motorized vehicle - Total,15.9
Raichur,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,36.6
Raichur,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,14.7
Raichur,Exclusive breastfeeding rate - Atleast 4 months,35.5
Raichur,Exclusive breastfeeding rate - Atleast 6 months,39.8
Raichur,Timely complementary feeding rate - Total 6-24 mo,75.3
Raichur,Anaemia among adolescent girls - Total 10-19 yr Mild,34
Raichur,Anaemia among adolescent girls - Total 10-19 yr Moderate,43.6
Raichur,Anaemia among adolescent girls - Total 10-19 yr Severe,20.9
Raichur,Anaemia among children - Mild Under 6 yr,43
Raichur,Anaemia among children - Moderate Under 6 yr,50
Raichur,Anaemia among children - Severe Under 6 yr,6
Raichur,Anaemia among pregnant women - Female 15-44 yr Mild,47.4
Raichur,Anaemia among pregnant women - Female 15-44 yr Moderate,47.4
Raichur,Anaemia among pregnant women - Female 15-44 yr Severe,5.3
Raichur,Prevalence of underweight (moderate and severe) - Under 6 yr,25.5
Raichur,Prevalence of underweight (severe) - Under 6 yr,8.9
Raichur,Children who received vitamin A supplements - Total 9-35 mo,47.5
Raichur,Use of iodised salt - Adequately Iodised,8.1
Raichur,Children aged 21 months and above who received three doses of Vitamin A - Total,22.8
Raichur,Marriage below legal age at marriage - Female,35.3
Raichur,Marriage below legal age at marriage - Male,35.6
Raichur,Currently married women aged 15-44 yrs aware of RTI/STI - Total,4.9
Raichur,Prevalence of RTI/STI - Female,23
Raichur,Ever married women aged 15-49 years who have heard of RTI/STI - Total,36.2
Raichur,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,48.5
Raichur,Antenatal care (all components) - Total,25.5
Raichur,Contraceptive prevalence rate by method - Total 15-49 yr Any method,49.9
Raichur,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,49.3
Raichur,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,0.5
Raichur,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,0.2
Raichur,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,47.9
Raichur,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,0.4
Raichur,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.2
Raichur,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.6
Raichur,Percentage distribution of live births by order of birth - 3rd & above,37.2
Raichur,Percentage of deliveries assisted by a skilled health professional - Total,10.1
Raichur,Percentage of women who had antenatal check up - Antenatal check up at home,12.8
Raichur,Percentage of women who had antenatal check up - Any antenatal check up,69.7
Raichur,Percentage of women who had antenatal check up - No antenatal check up,30
Raichur,Percentage of women who had antenatal check up - Three or more antenatal check ups,55.7
Raichur,Currently married women who had childbirth at home - Total,79.4
Raichur,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,24.5
Raichur,Pregnant women who had two or more TT injections - Total,50.2
Raichur,Pregnant women who received adequate IFA tablets/syrup - Total,30.3
Raichur,Unmet need for family planning - For limiting,6.2
Raichur,Unmet need for family planning - For spacing,9.9
Raichur,Unmet need for family planning - Total,16.1
Raichur,Women who had institutional delivery - Total,41.4
Raichur,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,3.2
Raichur,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,26.4
Raichur,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,97.3
Raichur,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,21.4
Raichur,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,44.2
Raichur,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,60.8
Raichur,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,44.9
Raichur,Percentage of births to women aged 15-19 years - Total,23.2
Raichur,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,67.9
Raichur,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Raichur,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Raichur,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Ramanagara,Population size - Female,534679
Ramanagara,Population size - Female 0-6 yr,49754
Ramanagara,Population size - Male,548060
Ramanagara,Population size - Male 0-6 yr,51811
Ramanagara,Population size - Rural,815386
Ramanagara,Population size - Rural 0-6 yr,72846
Ramanagara,Population size - Rural Female,402755
Ramanagara,Population size - Rural Female 0-6 yr,35713
Ramanagara,Population size - Rural Male,412631
Ramanagara,Population size - Rural Male 0-6 yr,37133
Ramanagara,Population size - Total,1082739
Ramanagara,Population size - Total 0-6 yr,101565
Ramanagara,Population size - Urban,267353
Ramanagara,Population size - Urban 0-6 yr,28719
Ramanagara,Population size - Urban Female,131924
Ramanagara,Population size - Urban Female 0-6 yr,14041
Ramanagara,Population size - Urban Male,135429
Ramanagara,Population size - Urban Male 0-6 yr,14678
Ramanagara,Population density - Total,303
Ramanagara,Sex ratio - Rural,976
Ramanagara,Sex ratio - Total,976
Ramanagara,Sex ratio - Urban,974
Ramanagara,Sex ratio (0-6 years) - Rural,962
Ramanagara,Sex ratio (0-6 years) - Total,960
Ramanagara,Sex ratio (0-6 years) - Urban,957
Ramanagara,Literacy rate (age 7+) - Female,61.3
Ramanagara,Literacy rate (age 7+) - Male,76.92
Ramanagara,Literacy rate (age 7+) - Rural,65.22
Ramanagara,Literacy rate (age 7+) - Rural Female,56.07
Ramanagara,Literacy rate (age 7+) - Rural Male,74.16
Ramanagara,Literacy rate (age 7+) - Total,69.2
Ramanagara,Literacy rate (age 7+) - Urban,81.6
Ramanagara,Literacy rate (age 7+) - Urban Female,77.61
Ramanagara,Literacy rate (age 7+) - Urban Male,85.5
Ramanagara,Number of literates aged 7 years and above - Female,297279
Ramanagara,Number of literates aged 7 years and above - Male,381704
Ramanagara,Number of literates aged 7 years and above - Rural,484253
Ramanagara,Number of literates aged 7 years and above - Rural Female,205789
Ramanagara,Number of literates aged 7 years and above - Rural Male,278464
Ramanagara,Number of literates aged 7 years and above - Total,678983
Ramanagara,Number of literates aged 7 years and above - Urban,194730
Ramanagara,Number of literates aged 7 years and above - Urban Female,91490
Ramanagara,Number of literates aged 7 years and above - Urban Male,103240
Shimoga,Type of houses occupied - Pucca,17.6
Shimoga,Living in own house - Total,89.2
Shimoga,Mean age at marriage - Female,20.5
Shimoga,Mean age at marriage - Male,25.8
Shimoga,Population size - Female,875695
Shimoga,Population size - Female 0-6 yr,86633
Shimoga,Population size - Male,879817
Shimoga,Population size - Male 0-6 yr,90271
Shimoga,Population size - Rural,1132286
Shimoga,Population size - Rural 0-6 yr,116174
Shimoga,Population size - Rural Female,564245
Shimoga,Population size - Rural Female 0-6 yr,56875
Shimoga,Population size - Rural Male,568041
Shimoga,Population size - Rural Male 0-6 yr,59299
Shimoga,Population size - Total,1755512
Shimoga,Population size - Total 0-6 yr,176904
Shimoga,Population size - Urban,623226
Shimoga,Population size - Urban 0-6 yr,60730
Shimoga,Population size - Urban Female,311450
Shimoga,Population size - Urban Female 0-6 yr,29758
Shimoga,Population size - Urban Male,311776
Shimoga,Population size - Urban Male 0-6 yr,30972
Shimoga,Population density - Total,207
Shimoga,Sex ratio - Rural,993
Shimoga,Sex ratio - Total,995
Shimoga,Sex ratio - Urban,999
